Name,WOD 1,WOD 2,WOD 3
CASEY HAYWOOD,805.0,22.0,247.0
MATT AUXIER,718.0,20.0,245.0
RYAN MILES,587.0,23.0,210.0
TYLER LOWERY,605.0,22.0,225.0
JONATHAN  FENNELL ,687.0,19.0,242.0
SHAWN LEDFORD,721.0,20.0,245.0
TODD VITALE ,720.0,22.0,235.0
EDWIN RENTAS JR,720.0,21.0,236.0
BENJAMIN JOHNSON,653.0,16.0,235.4
BENNY ROCHA,870.0,18.0,255.0
RODOLFO DONOFRIO,602.0,16.0,226.0
MINI AMIL,673.0,20.0,227.25
RAMIRO SALAZAR W,595.0,18.0,225.0
BOBBY  GRIFFIN ,720.0,22.0,230.0
WILLIAM CROWDER,537.0,16.0,210.0
SKY VAN HORN,753.0,17.0,245.0
JEAN BOU YOUNES,583.0,15.0,215.0
MICHAEL ETHERIDGE,674.0,20.0,225.0
RYAN LETT,645.0,19.0,215.0
JOAN ABBOTT,836.0,22.0,232.0
JEREMY BEUSSINK,636.0,16.0,225.0
SHANNON RIDLEY,857.0,21.0,235.0
NICK DUSOE,748.0,18.0,235.0
BRIAN KINDL,645.0,19.0,205.0
JOSEPH PORTUGAL,679.0,17.0,215.0
FRANK SANCHEZ,760.0,19.0,225.0
MOISES NAVA,624.0,15.0,205.0
TY LEWIS,416.0,23.0,215.0
ALAN KOPMEYER,725.0,18.0,215.0
DOUGLAS HARTLEY,643.0,13.0,205.0
LEO HERNANDEZ,720.0,11.0,225.0
ROCCO STINZIANO,720.0,15.0,215.0
SEAN HALL,615.0,8.0,185.0
BARNABY GEHLCKEN,658.0,12.0,204.0
FREDDIE POYNOR,777.0,19.0,205.0
PAULO GONSALVES ,720.0,15.0,185.0
JESSE HOFFERT ,781.0,15.0,205.0
PAUL PERRONE,843.0,12.0,215.0
SERGIO FONSECA,871.0,15.0,210.0
ANDY ATKINS,844.0,16.0,205.0
NICOLAY DAZA,774.0,10.0,185.0
RAFI MIRANDA,813.0,10.0,200.0
WAYNE SMELSER,935.0,14.0,205.0
DELLOYD SMITH,525.0,7.0,215.0
JOSEPH COLLINS,837.0,10.0,200.0
SEAN BELLINGER,877.0,12.0,205.0
DARREN GARDNER,819.0,7.0,175.0
BEN EGGLESTON,876.0,11.0,177.5
TY JUNE,720.0,15.0,135.0
BRIAN BELIK,0,25.0,275.0
DAVID  MARMON,594.0,0,0
JAMES HASSIEPEN,720.0,0,0
JEREMY TUCKER,726.0,0,0
RYAN SCHUBERT,727.0,0,0
MICHAEL HUYNH,1020.0,0,0
ADAM WEAVER,0,0,0
AUSTIN  FRANCESCONE ,0,0,0
BENJAMIN BECK,0,0,0
BENJAMIN BECK,0,0,0
BRADLEY PRITCHARD,0,0,0
CARTER MAY,0,0,0
CEDRIC  LE DIUZET ,0,0,0
CHRISTOPHER ANDERSON,0,0,0
COREY LARSON,0,0,0
COUPILLET  STEEVE,0,0,0
DAVID AUTHEMENT ,0,0,0
DAVID BOSTON,0,0,0
DAVID WILKINSON ,0,0,0
DEYAN YORDANOV,0,0,0
EDDY RODRIGUEZ,0,0,0
EDI SILVERIO,0,0,0
EMMANUEL  ROLDAN,0,0,0
FERNANDO DE PAULA ,0,0,0
FRANCISCO CORDEIRO,0,0,0
GREG SCHELL ,0,0,0
JAMES MCGUFFEE,0,0,0
JASON GRUBB,0,0,0
JOHN EPPERLY,0,0,0
JONNY SHANNON,0,0,0
JORDAN  WOLK ,0,0,0
JOSH WOOD,0,0,0
JUAN  PÉREZ ,0,0,0
JUAN CARLOS SAINZ,0,0,0
JULIO MAXIMO,0,0,0
KEVIN WOODARD,0,0,0
KONRAD NIERWINSKI,0,0,0
LEONARDO  SOARES ,0,0,0
LIONEL HARMS,0,0,0
LON ROTHWELL,0,0,0
LUCA VOLPICELLA ,0,0,0
MATT O'KEEFE,0,0,0
MICHAEL ROBINSON,0,0,0
MIKE DUDEVOIR,0,0,0
PETE JOHANNSEN,0,0,0
PETER HOWE,0,0,0
RICCARDO BASSANI,0,0,0
RICKARD RASMUSSEN,0,0,0
ROLANDO DOMINGO,0,0,0
RON PROTOKOWICZ ,0,0,0
ROSS GASSMAN,0,0,0
SCOTT UNGER,0,0,0
STEVE PASTOREK,0,0,0
THOMAS GARLAND,0,0,0
TODD EDMUNDS ,0,0,0
TOMMY RODRIGUEZ,0,0,0
TY ROST,0,0,0
WALTER  ALBRO,0,0,0
