Name,WOD 1,WOD 2,WOD 3
KENDALL MORRIS,423.0,30.0,210.0
LINDSEY GRASIS,471.0,37.0,195.0
MELANIE  KEER,434.0,34.0,195.0
SARA CALLAHAN,399.0,32.0,195.0
CASSIE GAHM,442.0,33.0,200.0
JULIE GALLO,378.0,31.0,195.0
HEATHER HODSON,461.0,33.0,205.0
THERESA  RANIERE ,434.0,36.0,186.0
SARA WOODHOUSE,446.0,32.0,205.0
STEFANIE STAMATIS,385.0,31.0,195.0
CECILIA RAMIREZ VILLAMIL ,434.0,30.0,210.0
MARA VAZQUEZ ,464.0,30.0,221.0
STEPHANIE ROSS,389.0,31.0,195.0
ATIYA BODDIE,493.0,34.0,207.0
KATIE  LINDSLEY,432.0,33.0,195.0
DANIELLE LLOPIZ,425.0,31.0,200.0
BRITTANI SCALIA,411.0,33.0,190.0
MEGAN MEDEIROS,425.0,31.0,200.0
PAMELA PETERLINI,575.0,35.0,214.0
ASHLEY FRASIER,426.0,31.0,200.0
BRIANA SIEGERT,439.0,36.0,185.0
ASHLEY KOLOZSVARY,439.0,32.0,200.0
SHANNON DE PERALTA,415.0,32.0,195.0
CANDACE RUBENSTEIN,418.0,31.0,197.0
BIANCA CASCIARI,506.0,32.0,215.0
ALEXANDRA  CAUSEY,411.0,33.0,187.0
SIOBHAN BLANCAFLOR,475.0,34.0,200.0
LAURA SORSBY,421.0,33.0,191.0
KRISTEN PEREZ,403.0,30.0,197.0
GRETCHEN SCHNAUTZ,452.0,34.0,195.0
PAMELA ZAPATA,422.0,34.0,185.0
AMANDA BACETTI,489.0,35.0,198.0
SOPHIE LARSON,458.0,32.0,202.0
MORGAN SEGER,437.0,31.0,200.0
KRISTEN  HERNANDEZ,470.0,32.0,205.0
SAVANNAH GOSSELIN SAVANNAH GOSSELIN,683.0,35.0,215.0
MARIA CAMILA  QUINTERO ,472.0,30.0,215.0
ANNA WEIGAND,470.0,32.0,202.0
JESSICA HAMILTON,380.0,31.0,185.0
MARISSA JOHNSEN,422.0,31.0,195.0
ANNIE MELEWSKI,454.0,31.0,202.0
SOPHIE  SIMON ,437.0,32.0,195.0
MICHELLE WEIR,468.0,32.0,200.0
HAYLEY BATTEN,491.0,33.0,200.0
HEATHER WILLIAMS ,440.0,31.0,197.0
SARAH  MCSPADDEN,520.0,33.0,205.0
SAMANTHA PETERS,372.0,31.0,178.0
MOLLY AKERS,441.0,30.0,200.0
NADINE MCKANE,408.0,31.0,187.0
BRITTANY  MACK,491.0,34.0,195.0
HEATHER LOFLIN,437.0,33.0,185.0
EMILY KRAMER,437.0,30.0,197.0
CHELSEA DICK,452.0,34.0,185.0
STEPHANIE STEPP,382.0,30.0,185.0
MADELINE SIEFERT,596.0,31.0,222.0
CULLEY JO WILSON,504.0,27.0,225.0
ELLIE DUFFY,514.0,40.0,175.0
JACKIE RUBEY,381.0,30.0,180.0
EMILY PRITCHARD ,414.0,32.0,175.0
GIAVANNA MARTIN,526.0,34.0,195.0
CAROL COLLING,513.0,31.0,205.0
ADARA GRIFFIN,442.0,28.0,200.0
KENDALL HUDSON,589.0,35.0,197.0
LAUREN LAVALLEE,479.0,33.0,192.0
ABIGAIL KRUEGER,461.0,33.0,185.0
JENNA FISHER,476.0,32.0,195.0
LAUREN SEFCIK,441.0,27.0,200.0
JULI FAREWELL,407.0,31.0,175.0
SHELBY  VANASEN,489.0,33.0,190.0
MELISSA GIAMBRONE,530.0,28.0,215.0
NATALIE ALLPORT,450.0,30.0,195.0
HANNAH HARDY ,472.0,33.0,185.0
LEXI MACHUGA,427.0,31.0,180.0
KARLA SCHULDES,490.0,30.0,200.0
LAUREN METCALFE,543.0,33.0,195.0
ADDISON DAVIS,567.0,33.0,196.0
CAYLA HANEY,672.0,28.0,235.0
AMELIA BUCKLEY,493.0,37.0,165.0
TINA CARSON,560.0,27.0,220.0
MELISSA JUDNICH,476.0,31.0,195.0
DANA PARAN,709.0,32.0,207.0
ALEXIS KING,580.0,32.0,200.0
KRISTEN MUNOZ,448.0,30.0,190.0
SHALYNN LORING,453.0,32.0,180.0
SARAH  ARNETT,517.0,31.0,196.0
BRITTANY SMOLARSKI,585.0,28.0,215.0
TANYA LABELL,432.0,31.0,175.0
MICHELLE CAVALIERI,409.0,27.0,185.0
MADELEINE MINETREE,561.0,29.0,210.0
TOYA  NELSON,455.0,25.0,201.0
MAUDE RIOPEL,472.0,32.0,185.0
HANNAH ULRICH,467.0,30.0,192.0
KATIE PRICE,471.0,33.0,175.0
LEONIE SOLIA,479.0,28.0,198.0
CHRISTINA MERLO,479.0,29.0,196.0
PAULA ZIKOWSKY,491.0,32.0,187.0
KAITLYN FREY,448.0,23.0,200.0
SARAH KESHISHIAN,470.0,32.0,180.0
MEGHAN DEWEES-KERN,413.0,24.0,187.0
KRYSTAL  COLE,550.0,31.0,196.0
LEANNE WATSON,459.0,26.0,196.0
DANA  LOUCAS,483.0,31.0,190.0
BRITTANI WILLIAMS,513.0,29.0,200.0
HANNAH PRUITT,450.0,31.0,178.0
DESIREE STOLTE,469.0,31.0,185.0
TIANA FAHEY-LEIGH,499.0,31.0,192.0
NADIA  ZEBOUNI ,388.0,26.0,170.0
KATRINA OLSON,528.0,33.0,185.0
MARIANNE RIOUX,564.0,29.0,205.0
NICOLE  PETTEL,490.0,30.0,193.0
HANNAH HEIL,475.0,30.0,190.0
CALLYE  WILLIAMS,411.0,24.0,185.0
BRITTANY HOFFMAN,521.0,27.0,202.0
KATIE CASEY,427.0,27.0,177.0
DANIELLA VERHOEST,552.0,30.0,196.0
KATIE SCHLUETER,450.0,28.0,185.0
JENNA RIDDLE,467.0,26.0,195.0
ANNEKE SPIES,502.0,26.0,198.0
JAYDE VILLARREAL,461.0,28.0,185.0
MARINA TUONO,582.0,27.0,205.0
CHELSEA JUNG,506.0,31.0,185.0
SHARON ARADINE,477.0,30.0,185.0
JILLIAN CRESPI,442.0,29.0,170.0
YUKO SAKUYAMA,494.0,30.0,187.0
JORDONNA BERGERON,525.0,30.0,192.0
LAINA  LIRA,553.0,30.0,195.0
KAREN  GRACIA,555.0,30.0,195.0
RACHEL FRICKER,508.0,32.0,175.0
ALYSSA SCHWINN,519.0,33.0,170.0
SIDNEY  WILSON,634.0,31.0,195.0
FAITH  STEWART,439.0,26.0,177.0
ELENA CARRATALÁ SANAHUJA,464.0,24.0,191.8
LARA ERLANK,437.0,27.0,172.0
AMBER BOOTH,631.0,29.0,200.0
RACHEL HOSTETLER,463.0,22.0,195.0
EMILY WHITE,577.0,31.0,190.0
KATELYN BROCKMAN,479.0,26.0,192.0
RACHEL  SCHREIBER ,446.0,29.0,165.0
MAKENNA ENSLIN ,513.0,27.0,195.0
KITTI FAZEKAS,381.0,21.0,143.0
