Name,WOD 1,WOD 2,WOD 3
BADKAT LJUBICIC,462.0,35.0,195.0
CAROL MEZEN,563.0,29.0,190.0
KATHLEEN MITCHELL,468.0,28.0,187.0
ISABELLE GAUTHIER,594.0,30.0,175.0
LAURA MATUSZAK,599.0,29.0,187.0
KIM PURDY,500.0,29.0,161.0
TRACY O’CONNELL,457.0,27.0,165.0
TÓTH FRIDA,591.0,27.0,187.0
KONSTANTINA BEKIOU,466.0,24.0,170.0
TARA PHILION,648.0,28.0,190.0
ROCHELLA LARUE,627.0,30.0,170.0
STELLA LADAO,630.0,28.0,175.0
JENNIFER JASPER,602.0,25.0,175.0
KEELEY EHLERS,570.0,23.0,170.0
TARA  NISSEN,675.0,27.0,170.0
DANA JANKE,681.0,29.0,157.0
LICIA PASSIN,561.0,25.0,150.0
WENDY KESTERSON,526.0,26.0,147.0
TERESA LUPUS,582.0,24.0,155.0
CORIEN POTGIETER,720.0,28.0,176.0
SIRLEI ALVES DE OLIVEIRA,659.0,22.0,175.0
CSILLA CLARK,683.0,25.0,160.0
VIVIAN MAO,715.0,24.0,170.0
GIORGIA DONATO,607.0,22.0,155.0
TARA BLANKENSHIP ,702.0,23.0,160.0
SHANNON WINSLADE,582.0,19.0,156.0
DANA MATHER,557.0,20.0,148.0
SARAH BENNER,749.0,25.0,170.0
TRACY HAMILTON BACON,584.0,22.0,147.0
LINDA CALDERON,690.0,22.0,156.0
KRYSSIE CHANDLER,680.0,22.0,152.0
CARRIANN HARLAN,559.0,20.0,147.0
CINDY HINKLE,503.0,20.0,145.0
TANYA ALLINA,684.0,21.0,150.0
DIXIE GARBER,705.0,21.0,150.0
KRISTINE SAFRANEK,773.0,23.0,157.0
JANET HATTLESTAD ,747.0,22.0,155.0
SHARI WELS,681.0,22.0,145.0
JENNIFER  CORNELY,822.0,22.0,157.0
KIM PLATT,607.0,20.0,142.5
JAMIE BURGESS,606.0,20.0,136.0
SHARON SCHULTZ,763.0,20.0,155.0
LEANNE SMITH,737.0,20.0,150.0
BETH CURRAN,702.0,20.0,145.0
VALERIE  HANNEMAN ,720.0,19.0,150.0
DEBORAH SWARTOUT,682.0,18.0,145.0
VALENTINA BISOGNO,698.0,16.0,147.71
JULIE BASTIAN,535.0,18.0,65.0
JANICE  MOONE,726.0,21.0,145.0
LAURA CONKLE,720.0,17.0,150.0
FERNANDA PASSOS,867.0,22.0,147.0
DAWN  ROGERS,765.0,17.0,150.0
DENISE CONRAD,785.0,18.0,147.0
CARRIE WAITE,716.0,15.0,135.0
CHIARA BISTARELLI ,613.0,10.0,120.0
EVELYN BOLANIS ,717.0,14.0,135.0
TRISH NANOUSKI,793.0,18.0,145.0
LUCIE GRECO,720.0,15.0,135.0
 ANNE COPPOTELLI ,709.0,10.0,135.0
CANDICE WYMA,735.0,10.0,145.0
ROBYN MORGAN ,885.0,20.0,143.0
LISA GRIMMER,706.0,9.0,130.0
VIRGINIA RUSHING ,775.0,12.0,142.5
NIKI HOWARD,644.0,14.0,165.0
DESIREE FARCHIONE,720.0,9.0,123.0
RENAY MARTINEZ ,795.0,14.0,131.0
CHANTALE BOURGEOIS,720.0,8.0,121.25
LAURA RYAN,886.0,17.0,125.0
ISABELLE MORENCY RUIZ,877.0,12.0,134.0
PARISJAT UMSCHEID,760.0,3.0,130.0
DINA SALMON,795.0,4.0,125.0
CHRISTINE BUESNEL,892.0,9.0,125.0
KRISTA WALBERT,856.0,7.0,120.0
JENNIFER COX,891.0,6.0,125.0
SHEILA GAZZARD,879.0,3.0,116.0
TRACEY  WEAVER ,899.0,0.0,105.5
PAULA DAVIS,456.0,35.0,115.0
CARI BLAIR,565.0,27.0,120.0
MINDY LAYNE,928.0,26.0,115.0
TINA TORRES,610.0,28.0,105.0
MICHELLE CORRIGAN,538.0,6.0,120.0
LILLIANA SOSA,900.0,15.0,95.0
JOY STAUDER,732.0,21.0,85.0
KATRINA CHILTON,835.0,17.0,95.0
LIZ  FORMAN,750.0,0,0
CARMEN MCGEE,0,0,0
DANA MIES,0,0,0
IVONA  GIL ,0,0,0
JACQUELINE  CARDINI,0,0,0
JANE EVANS,0,0,0
JELENA  ANTONIC ,0,0,0
JEN MORRIS,0,0,0
JENNIFER GUARINO,0,0,0
JENNIFER VAUGHAN,0,0,0
JUDY STEWART,0,0,0
KARI ZUBACK ,0,0,0
KATHRYN  BARNETT ,0,0,0
KELLY DEMERS,0,0,0
KIM LENNON,0,0,0
KRISTINE HATFIELD,0,0,0
LESA DURAN,0,0,0
MARIA  FUDALA ,0,0,0
MISSIE YOUNG,0,0,0
RANDI SHELOWITZ ,0,0,0
REBECCA SUDER,0,0,0
ROSELE PARDELLI ,0,0,0
SHARON VASQUEZ,0,0,0
VERONICA NOE,0,0,0
VIKKI COOPER,0,0,0
