Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5
STUART  SWANSON,602.0,22.0,235.0,136.0,261.0
VINCENT  LOPEZ,583.0,22.0,205.0,154.0,233.0
PATRICK MCCARTY,656.0,23.0,225.0,131.0,203.0
JIM CONNOLLY,645.0,14.0,227.5,133.0,182.0
PAUL MACKENZIE,507.0,17.0,197.0,134.0,162.0
ERIC COHEN,709.0,21.0,227.0,123.0,214.0
JEFF  SMITH,755.0,20.0,236.0,132.0,157.0
TYRONE HOLLIE,675.0,23.0,225.0,121.0,140.0
CHRIS HARRINGTON,767.0,15.0,207.0,145.0,228.0
MARK A. ANDERSON,566.0,12.0,195.0,131.0,216.0
TONY GAUNCE,674.0,17.0,205.0,124.0,191.0
LUC CYR,702.0,24.0,235.0,132.0,83.0
BRIAN  SCHOEPF ,779.0,20.0,205.0,132.0,132.0
SIDNEY HARRELL,829.0,20.0,215.0,128.0,140.0
JOHN CROWE,771.0,15.0,200.0,136.0,130.0
SCOTT MONTGOMERY,720.0,16.0,195.0,109.0,133.0
JOHN MUNNO,767.0,11.0,215.0,101.0,175.0
JOHN OLSON,586.0,10.0,182.0,144.0,80.0
LANDON BARRETTO,793.0,14.0,190.0,125.0,135.0
MICHAEL DUGAN,886.0,14.0,217.0,118.0,130.0
TREY  WHITAKER,720.0,9.0,176.0,116.0,199.0
BRAD COSENS,725.0,12.0,186.0,98.0,147.0
MICHAEL RUSSO,663.0,7.0,185.0,112.0,138.0
FRANK CASTRO,718.0,13.0,185.0,89.0,131.0
MARK PETERS,878.0,10.0,190.0,112.0,143.0
GEORGE BURDICK,766.0,7.0,185.0,114.0,136.0
ROBERT  POWERS,745.0,6.0,176.0,115.0,138.0
RAYMUNDO SANCHEZ,807.0,6.0,190.0,118.0,130.0
FREDRIK STÅHLE,786.0,9.0,187.0,116.0,130.0
GORDON SPREWELL,775.0,11.0,192.0,91.0,130.0
RENE VALDES,681.0,4.0,165.0,118.0,130.0
GARY GAUDRY,784.0,7.0,180.0,112.0,130.0
GREGG  LAUDEREAUGH ,809.0,6.0,176.0,130.0,97.0
SCOTT WAMPLER,892.0,11.0,187.0,96.0,98.0
JEFFREY BENNETT,928.0,12.0,185.0,105.0,80.0
STEVE OLSON,671.0,18.0,140.0,86.0,163.0
CHAD HUHN,197.0,30.0,145.0,87.0,570.0
DAVID COLL,630.0,15.0,120.0,79.0,86.0
BOB ALBANESE,761.0,16.0,205.0,69.0,154.0
JOE ROMANO ,782.0,9.0,185.0,0,0
DONALD CLARK,750.0,31.0,155.0,0,0
JAMES SHERIDAN,838.0,6.0,175.0,0,0
MICK HOGAN,627.0,0,0,84.0,200.0
MIGUEL RODRIGUEZ ESQUEDA,649.0,0.0,135.0,0,0
FELIPE MCCAUSLAND,1113.0,0,0,85.0,0
RUSS CARLSON,720.0,0,0,0,0
BILL VAWTER,0,0,0,0,0
BOB SNELL,0,0,0,0,0
DAVID  RODERICK,0,0,0,0,0
DEWAYNE SAPP,0,0,0,0,0
GREG TYSOR,0,0,0,0,0
JAY LANE,0,0,0,0,0
JOSEPH CURLEY,0,0,0,0,0
KURT GRANTHAM,0,0,0,0,0
MANZUR DAYOUB,0,0,0,0,0
MARC MASCARO,0,0,0,0,0
MICHAEL  WALL,0,0,0,0,0
NICK PHILLIPS,0,0,0,0,0
OLIVER RACK,0,0,0,0,0
RANDY LANE,0,0,0,0,0
RICK GARDNER,0,0,0,0,0
SALVADOR  GUTIERREZ ,0,0,0,0,0
STEVE FLUET,0,0,0,0,0
TIMOTHY BOURNE,0,0,0,0,0
WAYNE EVANS ,0,0,0,0,0
