Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5
TAYLOR RECTOR,385.0,37.0,210.0,145.0,205.0
JOSIE HAMMING,369.0,35.0,210.0,146.0,212.0
ABIGAIL DAVILA,408.0,35.0,228.0,147.0,190.0
CARLIE  STONE,415.0,37.0,205.0,149.0,228.0
ALLISON RALFS,449.0,37.0,232.0,164.0,169.0
JORDAN CHRISTIE,374.0,36.0,205.0,144.0,217.0
KAELA STEPHANO,340.0,36.0,205.0,125.0,275.0
BAILEY GARRETT,416.0,36.0,210.0,146.0,230.0
KARLA WOLFORD,413.0,38.0,205.0,148.0,211.0
ALLIE BOUDREAU,399.0,31.0,222.0,155.0,216.0
MARISA DE LOS SANTOS ,350.0,35.0,180.0,154.0,322.0
BECCA MERRITT,403.0,35.0,202.0,149.0,226.0
MEGAN  ADAMS ,443.0,40.0,200.0,169.0,185.0
SUSANA ETTO,455.0,39.0,210.0,140.0,246.0
DOROTHY  MORENTIN ,426.0,32.0,225.0,146.0,230.0
RACHEL THIBODEAUX,340.0,34.0,195.0,142.0,255.0
MEG ALLISON IAFRATE,431.0,35.0,215.0,147.0,210.0
CHELY  GALVAN,405.0,34.0,200.0,147.0,246.0
ASHLEY RINCON,392.0,37.0,205.0,149.0,166.0
SIMONA QUINTANA SILVA,377.0,34.0,195.0,146.0,240.0
DIONNE GUTIERREZ,452.0,35.0,222.0,152.0,169.0
NICOLE CORRIERO,410.0,35.0,212.0,157.0,161.0
STEPHANIE MCGUFFIE,472.0,35.0,222.0,145.0,215.0
MARISA GONZALO,477.0,34.0,220.0,149.0,219.0
SARAH  VIETS,391.0,33.0,212.0,144.0,175.0
BRITTANI SCALIA,411.0,33.0,190.0,154.0,259.0
HOLLYE HENDERSON,427.0,34.0,205.0,136.0,249.0
LEXI COLABIANCHI,389.0,31.0,212.0,140.0,215.0
CHELSEA YOUNG,433.0,36.0,195.0,149.0,212.0
ADDISON DESROSIERS,371.0,39.0,185.0,146.0,169.0
ALEX SMITH,492.0,37.0,208.0,150.0,210.0
LAURA GONZALEZ,445.0,41.0,195.0,174.0,164.0
JULIE GALLO,378.0,31.0,195.0,147.0,250.0
TARA DEMERS,374.0,34.0,210.0,124.0,195.0
AMY MORTON,441.0,33.0,205.0,140.0,248.0
MADDIE SENKOSKY,386.0,31.0,208.0,127.0,246.0
RACHEL LYNASS,402.0,32.0,205.0,142.0,209.0
SAMANTHA PETRICH,410.0,32.0,198.0,149.0,215.0
MELANIE  KEER,434.0,34.0,195.0,147.0,226.0
EMILY PRITCHARD ,414.0,32.0,175.0,168.0,268.0
LINDSAY SPORT,496.0,35.0,215.0,136.0,226.0
RAELYNN BATDORFF,421.0,35.0,191.0,154.0,185.0
BROOKLYNN LINSKY ,449.0,37.0,210.0,145.0,165.0
JENNA TORRES,458.0,35.0,210.0,148.0,168.0
RACHEL ESCOLAS ,436.0,36.0,207.0,143.0,166.0
AMANDA GARCES,393.0,33.0,205.0,147.0,164.0
KAITLYN ANAPOLSKY,413.0,34.0,207.0,135.0,169.0
KRYSTINA  BOWER,452.0,35.0,216.0,129.0,189.0
ANDEE  JEFFERIES ,477.0,33.0,213.0,148.0,191.0
AMANDA  NORTON,384.0,33.0,187.0,151.0,180.0
MEREDITH SWINDLE,443.0,34.0,205.0,138.0,200.0
HEATHER HODSON,461.0,33.0,205.0,153.0,169.0
GABBY MCCLELLAND,419.0,31.0,210.0,147.0,166.0
HAYDEN CRAWFORD,435.0,36.0,202.0,136.0,167.0
JANINE LYTLE,457.0,35.0,205.0,148.0,166.0
KHRISTIN ALLEN,413.0,32.0,202.0,150.0,165.0
AMANDA SMITH,468.0,34.0,225.0,133.0,166.0
KENDALL MORRIS,423.0,30.0,210.0,158.0,165.0
SAMI  SCORZELLI,394.0,32.0,197.0,137.0,193.0
BRIANA SIEGERT,439.0,36.0,185.0,144.0,213.0
SIOBHAN BLANCAFLOR,475.0,34.0,200.0,144.0,217.0
MEGAN MUNSELL,530.0,37.0,222.0,130.0,173.0
TAYLOR BLACKWELL,433.0,33.0,210.0,136.0,167.0
MEGAN MARKEE,371.0,34.0,185.0,125.0,225.0
KELLY WILHIDE,438.0,32.0,207.0,138.0,187.0
ALYSIA WISLER,507.0,34.0,215.0,147.0,167.0
MORGAN SEGER,437.0,31.0,200.0,152.0,173.0
VICTORIA ASHLEY,447.0,32.0,211.0,142.0,167.0
JEANETTE  GARCIA ,445.0,35.0,217.0,128.0,160.0
ATIYA BODDIE,493.0,34.0,207.0,151.0,165.0
MARIA CAMILA  QUINTERO ,472.0,30.0,215.0,127.0,261.0
KRISTEN PEREZ,403.0,30.0,197.0,138.0,213.0
LAURA SORSBY,421.0,33.0,191.0,143.0,195.0
TAYLOR COOLEY,586.0,35.0,222.0,133.0,190.0
ALEXANDRA  CAUSEY,411.0,33.0,187.0,146.0,170.0
SARA CALLAHAN,399.0,32.0,195.0,136.0,179.0
STEFANIE STAMATIS,385.0,31.0,195.0,133.0,189.0
MIA GIANELLI,414.0,35.0,194.0,141.0,164.0
ASHLEY FRASIER,426.0,31.0,200.0,145.0,168.0
CANDACE RUBENSTEIN,418.0,31.0,197.0,128.0,216.0
MARIANA CENTENO,412.0,32.0,200.0,111.0,222.0
JESSICA HAMILTON,380.0,31.0,185.0,162.0,161.0
SARA WOODHOUSE,446.0,32.0,205.0,138.0,168.0
SHANNON DE PERALTA,415.0,32.0,195.0,130.0,206.0
MARISSA JOHNSEN,422.0,31.0,195.0,132.0,217.0
HANNAH HARDY ,472.0,33.0,185.0,156.0,198.0
JENNIE FISHER,499.0,35.0,225.0,122.0,165.0
SAMANTHA PETERS,372.0,31.0,178.0,138.0,211.0
BIANCA CASCIARI,506.0,32.0,215.0,133.0,183.0
KRISTEN  HERNANDEZ,470.0,32.0,205.0,152.0,159.0
VICKY CHMURA,447.0,33.0,227.0,122.0,159.0
ADARA GRIFFIN,442.0,28.0,200.0,141.0,219.0
HEATHER LOFLIN,437.0,33.0,185.0,145.0,181.0
LINDSEY GRASIS,471.0,37.0,195.0,130.0,166.0
CASSIE GAHM,442.0,33.0,200.0,138.0,160.0
ASHLEY KOLOZSVARY,439.0,32.0,200.0,125.0,184.0
MEGAN MEDEIROS,425.0,31.0,200.0,114.0,211.0
SOPHIE LARSON,458.0,32.0,202.0,146.0,160.0
CHELSEA DICK,452.0,34.0,185.0,176.0,150.0
